M;Punto;C¢d.Prv.;Provincia;C¢d.Pais;Pa°s;C¢d.Ruta;Ruta;C¢d.Zona;Zona;C¢d.Cli.;Cliente;C¢d.Postal;C¢d.Pto.;Env.Serv.;C¢d.Contc.;Contacto;Ub.
FALSO;BIOCOM PISUERGA,SA;;;;;;;;;;;;BIOCO;;;;
FALSO;BIODIESEL ARAGON, S.L.;;;;;;;;;;;;ARAGO;;;;
FALSO;BIODIESEL CLM, S.L.;;;;;;;;;;;;BIODI;;;;
FALSO;BIONOR BERANTEVILLA,SLU;;;;;;;;;;;;BION;;;;
FALSO;BIONORTE, S.A.;33;ASTURIAS;;;;;;;;;;BIONO;;;;
FALSO;BIOPORT DIESEL,SA;;;;;;;;;;;;BIOPO;;;;
FALSO;BIOVIGO ENERGY,SL;;;;;;;;;;;;BIOVI;;;;
FALSO;BIZKAIA;;;;;;;;;;;;BIZKA;;;;
FALSO;BOIRO;;;;;;;;;;;;BOIRO;;;;
FALSO;BOURDEAUX;;;;;;;;;;;;BOURD;;;;
